193, 23, 23, 3793
194, 4, 4, 5818
195, 21, 21, 4428
196, 3, 3, 6143
197, 38, 38, 1011
198, 11, 11, 5928
199, 2, 2, 9529
200, 3, 3, 8776
201, 40, 40, 2404
202, 21, 21, 4443
203, 18, 18, 5763
204, 15, 15, 4613
205, 21, 21, 4538
206, 4, 4, 8606
207, 8, 8, 6840
208, 28, 28, 2904
209, 16, 16, 4818
210, 16, 16, 5128
211, 35, 35, 688
212, 10, 10, 7369
213, 4, 4, 7917
214, 1, 1, 9917
215, 4, 4, 6996
216, 26, 26, 3324
217, 7, 7, 7743
218, 1, 1, 9470
219, 22, 22, 2183
220, 5, 5, 8490
221, 24, 24, 5499
222, 1, 1, 9772
223, 9, 9, 6725
224, 13, 13, 5644
225, 20, 20, 5590
226, 14, 14, 7505
227, 6, 6, 8139
228, 21, 21, 2954
229, 1, 1, 9786
230, 3, 3, 7669
231, 10, 10, 8082
232, 4, 4, 8542
233, 5, 5, 8464
234, 37, 37, 197
235, 4, 4, 9507
236, 4, 4, 9355
237, 6, 6, 8804
238, 9, 9, 6348
239, 2, 2, 8611
240, 28, 28, 3622
241, 3, 3, 7828
242, 3, 3, 9299
243, 6, 6, 7343
244, 15, 15, 5746
245, 17, 17, 5568
246, 15, 15, 4340
247, 5, 5, 5422
248, 27, 27, 3311
249, 19, 19, 3810
250, 1, 1, 7605
251, 29, 29, 1801
252, 18, 18, 5661
253, 22, 22, 3730
254, 16, 16, 4878
255, 44, 44, 1305
256, 2, 2, 9320
257, 3, 3, 8736
258, 1, 1, 9444
259, 4, 4, 8626
260, 3, 3, 8522
261, 25, 25, 3465
262, 14, 14, 6708
263, 24, 24, 3416
264, 1, 1, 8282
265, 27, 27, 3258
266, 27, 27, 2924
267, 10, 10, 7637
268, 26, 26, 2062
269, 14, 14, 5624
270, 31, 31, 2600
271, 40, 40, 2036
272, 8, 8, 3452
273, 35, 35, 1899
274, 1, 1, 9379
275, 18, 18, 5550
276, 5, 5, 7468
277, 48, 48, 71
278, 35, 35, 973
279, 8, 8, 7131
280, 23, 23, 3881
281, 14, 14, 4930
282, 6, 6, 8933
283, 17, 17, 5894
284, 4, 4, 8660
285, 41, 41, 163
286, 7, 7, 7199
287, 5, 5, 7981
288, 1, 1, 8899
289, 22, 22, 2996
290, 25, 25, 2959
291, 27, 27, 3773
292, 28, 28, 2813
293, 2, 2, 9668
294, 11, 11, 7190
295, 40, 40, 1095
296, 28, 28, 2926
297, 17, 17, 6466
298, 18, 18, 5084
299, 29, 29, 1340
300, 32, 32, 2090
301, 10, 10, 7684
302, 29, 29, 3376
303, 1, 1, 5542
304, 18, 18, 5936
305, 5, 5, 9107
306, 3, 3, 7445
307, 1, 1, 9756
308, 1, 1, 9179
309, 7, 7, 8418
310, 9, 9, 6887
311, 1, 1, 9412
312, 23, 23, 3348
313, 30, 30, 2172
314, 26, 26, 1659
315, 34, 34, 2009
316, 26, 26, 2336
317, 21, 21, 5210
318, 3, 3, 6342
319, 12, 12, 7587
320, 6, 6, 8206
321, 1, 1, 9301
322, 1, 1, 7713
323, 9, 9, 7372
324, 22, 22, 5321
325, 29, 29, 1255
326, 16, 16, 4819
327, 23, 23, 4599
328, 3, 3, 7721
329, 1, 1, 9904
330, 18, 18, 5939
331, 1, 1, 9811
332, 21, 21, 3940
333, 14, 14, 5667
334, 37, 37, 1705
335, 17, 17, 6228
336, 42, 42, 1127
337, 1, 1, 9150
338, 13, 13, 5984
339, 9, 9, 6658
340, 21, 21, 3920
341, 1, 1, 9224
342, 27, 27, 2422
343, 10, 10, 7269
344, 39, 39, 1396
345, 23, 23, 4081
346, 18, 18, 5630
347, 42, 42, 84
348, 1, 1, 9292
349, 29, 29, 1972
350, 10, 10, 7672
351, 27, 27, 3850
352, 4, 4, 7625
353, 19, 19, 5385
354, 37, 37, 1222
355, 2, 2, 9299
356, 17, 17, 6640
357, 11, 11, 6042
358, 26, 26, 3898
359, 41, 41, 713
360, 33, 33, 2298
361, 14, 14, 6190
362, 41, 41, 524
363, 30, 30, 2590
364, 7, 7, 8209
365, 8, 8, 8581
366, 1, 1, 8819
367, 1, 1, 9336
368, 3, 3, 7732
369, 36, 36, 1155
370, 10, 10, 5994
371, 4, 4, 8004
372, 40, 40, 379
373, 19, 19, 4769
374, 21, 21, 5273
375, 42, 42, 1776
376, 1, 1, 8850
377, 8, 8, 7255
378, 34, 34, 1860
379, 5, 5, 8142
380, 16, 16, 5579
381, 18, 18, 5884
382, 28, 28, 1993
383, 28, 28, 3205
384, 9, 9, 7621
385, 2, 2, 9567
386, 33, 33, 2504
387, 42, 42, 613
388, 28, 28, 1961
389, 29, 29, 2754
390, 46, 46, 1326
391, 23, 23, 4259
392, 2, 2, 8944
393, 6, 6, 8202
394, 22, 22, 3202
395, 28, 28, 3506
396, 11, 11, 6784
397, 41, 41, 2021
398, 26, 26, 2842
399, 36, 36, 868
400, 1, 1, 9528
401, 19, 19, 5189
402, 4, 4, 8872
403, 1, 1, 9908
404, 1, 1, 9958
405, 32, 32, 498
406, 1, 1, 8036
407, 3, 3, 8808
408, 1, 1, 7753
409, 11, 11, 6248
410, 28, 28, 3303
411, 23, 23, 3333
412, 36, 36, 2133
413, 26, 26, 1648
414, 29, 29, 2890
415, 1, 1, 9754
416, 5, 5, 7567
417, 30, 30, 1746
418, 38, 38, 368
419, 3, 3, 9529
420, 26, 26, 4500
421, 4, 4, 8046
422, 25, 25, 3788
423, 1, 1, 9797
424, 15, 15, 6249
425, 10, 10, 6990
426, 25, 25, 3303
427, 23, 23, 3033
428, 14, 14, 5363
429, 29, 29, 2497
430, 34, 34, 253
431, 24, 24, 4892
432, 6, 6, 7686
433, 2, 2, 9125
434, 36, 36, 1152
435, 29, 29, 3996
436, 17, 17, 5975
437, 4, 4, 9188
438, 1, 1, 9157
439, 24, 24, 3729
440, 15, 15, 5436
441, 35, 35, 2460
442, 22, 22, 3414
443, 24, 24, 3921
444, 37, 37, 460
445, 14, 14, 6304
